TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Denmark,Region Sjælland,May,195184,210610,178534,157422,162624,138992,141224,143034,114778,143700,156103,144952,184054,175934,153114,190784,191168,186113,179470,140289,169322,152374,140142,157978,151808,142222,156202,130552,145335,0
Nights stay,Denmark,Region Sjælland,June,268846,229220,217565,250366,205537,211438,197751,155315,189192,185580,162041,224127,154629,168612,188131,178977,194226,186030,178845,218639,148024,150522,175494,155124,158861,171845,160488,167666,165372,0
Nights stay,Denmark,Region Sjælland,July,499331,436222,469803,499691,465286,527215,431978,412282,371292,393792,398600,422491,378980,362000,397733,363536,392733,386585,392096,365126,340362,368798,373201,370445,370675,343516,347225,345534,411700,0
Nights stay,Denmark,Region Sjælland,August,232382,182344,185355,208062,198088,205600,167301,180048,162621,164543,192351,195349,186217,199770,207448,228721,209534,217060,204673,195480,184425,195222,186530,193349,196927,185259,195836,185658,213022,0
Nights stay,Denmark,Region Sjælland,September,92803,87105,73409,68764,71918,73707,66273,67050,66873,67882,90849,90209,94662,100352,110791,110146,106001,110053,99363,95522,92043,86050,92926,91520,99924,96832,91359,92312,102669,0
Nights stay,Denmark,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41858,42830,37490,37684,38662,43621,0
Nights stay,Denmark,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19720,19056,19160,19255,19013,20052,0
Nights stay,Denmark,Region Sjælland,December,35511,32347,25536,23246,24000,25463,25402,27174,29211,30991,37170,49486,54938,67797,69740,74852,85007,95824,76786,77532,66167,71402,75750,16884,18537,16742,16981,17889,16865,0
Nights stay,Denmark,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18363,22612,21417,20462,21493,23061,21975
Nights stay,Denmark,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17752,22067,19412,20415,22256,23088,24446
Nights stay,Denmark,Region Syddanmark,March,34963,25185,24758,17323,20658,44816,30985,26986,28434,30587,73103,42213,35658,80636,34623,43774,145973,56216,96032,65698,81808,89866,69938,54159,92188,47170,69729,43815,34537,63314
Nights stay,Denmark,Region Syddanmark,April,91124,108101,108491,116313,115714,103119,116558,132022,158927,146778,143338,194898,186045,163170,192252,231620,201128,249149,244346,300708,254618,208371,248017,247654,213923,251804,217453,243087,150347,0
Nights stay,Denmark,Region Syddanmark,May,207964,236886,224562,198576,225897,229588,222849,264026,196983,244016,252000,252558,310079,298676,272419,335477,370432,376023,383467,298186,387535,347367,320647,360982,341944,332157,354558,292363,307742,0
Nights stay,Denmark,Region Syddanmark,June,359491,312405,292724,308236,295999,289188,314197,284686,363454,324299,289085,383483,304684,288597,340426,307103,385828,377042,356699,461783,342444,340171,384776,347778,347593,365636,353838,364197,333344,0
Nights stay,Denmark,Region Syddanmark,July,1123467,984732,1021865,1058770,984092,1032718,905749,1002125,918473,986576,1007316,1127943,1062203,969073,1064468,974408,1079333,1066263,1060511,1025447,920448,967283,1026646,956904,924296,890109,933838,900374,1182158,0
Nights stay,Denmark,Region Syddanmark,August,365343,324765,355589,387507,372321,384933,329018,362555,336643,366412,396187,441543,414106,402144,462057,493389,464807,461714,456464,433717,439727,443832,412244,441646,433800,421218,434511,412686,513304,0
Nights stay,Denmark,Region Syddanmark,September,103850,91862,100358,111123,116707,121687,106818,135299,124060,121908,145779,149255,146797,154387,167023,167432,183569,193732,187165,182174,186693,179788,188252,192156,211032,200516,195633,185063,214764,0
Nights stay,Denmark,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100209,102624,95902,104955,93076,114922,0
Nights stay,Denmark,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29392,28641,27645,28503,28917,31302,0
Nights stay,Denmark,Region Syddanmark,December,43950,38903,41877,37753,47212,57538,64047,71933,68237,75675,85671,84696,95661,108795,118695,130427,143062,158001,129926,133600,128410,134197,132837,25137,26063,26752,25764,26884,29818,0
Nights stay,Denmark,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9859,23324,11302,12050,12290,12300,12014
Nights stay,Denmark,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11552,18886,13391,12294,12896,13438,14002
Nights stay,Denmark,Region Midtjylland,March,23168,32570,28448,22884,19947,30140,18313,24037,22868,24364,61298,27275,28675,66094,25164,34265,98113,38496,55342,31311,44572,59376,40712,28571,49912,26138,32669,23632,18363,42945
Nights stay,Denmark,Region Midtjylland,April,105121,118305,118522,120448,117217,100495,119516,130093,145321,137306,143783,174824,164328,144318,158548,201745,163958,176269,156472,188385,166319,158566,179635,164496,147349,162983,147525,165578,113376,0
Nights stay,Denmark,Region Midtjylland,May,239043,284090,251884,219067,224891,228304,233200,239408,181281,212059,250314,212883,279286,267363,232077,289285,308513,293104,271569,210226,270396,263503,238294,258183,249778,241230,252165,208006,237135,0
Nights stay,Denmark,Region Midtjylland,June,356485,285306,270521,291655,269455,267984,285279,239199,310683,286595,265301,325192,242638,249079,289266,251769,296283,280390,256316,325247,235539,254968,307957,262954,258647,267485,252281,266962,252698,0
Nights stay,Denmark,Region Midtjylland,July,798426,775881,808396,821365,786785,823074,704699,734654,686099,730687,754539,770833,737750,660903,711911,656287,728925,710464,713362,682276,636078,701291,740462,660816,623694,603658,659382,641335,807560,0
Nights stay,Denmark,Region Midtjylland,August,287473,288241,293760,330789,326494,350147,285327,292216,272400,292388,307043,329831,307918,330419,348148,375657,335721,337913,322729,326348,324049,330024,312017,321549,311119,310116,309837,297920,355171,0
Nights stay,Denmark,Region Midtjylland,September,108767,112435,105425,101754,114221,111446,108534,122347,116364,108475,134427,131305,126258,145237,151395,153140,145795,152695,132400,128258,133910,123357,135139,128524,138753,136154,129342,119898,146378,0
